day,minutes_bedroom,minutes_bathroom,minutes_kitchen,minutes_living_room,minutes_office,minutes_entrance,first_exit_minutes,night_bathroom_visits,motion_events
2010-12-31,92,37,179,381,4,18,357.0,2.0,7062
2011-01-01,101,23,175,514,11,2,375.0,1.0,7250
2011-01-02,133,37,146,433,6,17,342.0,3.0,7696
2011-01-03,88,38,178,486,8,10,520.0,0.0,7181
2011-01-04,96,30,305,486,3,35,488.0,1.0,11165
2011-01-05,119,36,127,328,1,4,354.0,2.0,5358
2011-01-06,60,22,88,347,1,7,417.0,0.0,4092
2011-01-07,65,35,181,385,2,6,435.0,1.0,6054
2011-01-08,111,30,150,418,2,0,349.0,2.0,6752
2011-01-09,102,39,216,370,123,20,330.0,1.0,8076
2011-01-10,81,29,128,187,1,18,245.0,1.0,3932
2011-01-11,78,36,185,392,2,12,366.0,1.0,7330
2011-01-12,112,46,125,252,33,9,376.0,1.0,4825
2011-01-13,95,32,177,331,4,8,423.0,0.0,5466
2011-01-14,73,34,176,349,7,5,337.0,1.0,5534
2011-01-15,93,36,321,476,49,26,344.0,2.0,10964
2011-01-16,115,31,220,551,255,23,308.0,2.0,12030
2011-01-17,112,37,237,425,16,7,294.0,1.0,6969
2011-01-18,148,43,327,465,30,24,365.0,1.0,12518
2011-01-19,72,27,142,250,20,14,265.0,2.0,4716
2011-01-20,67,26,134,302,4,5,417.0,2.0,4935
2011-01-21,106,40,151,331,68,11,416.0,1.0,5714
2011-01-22,155,39,230,406,36,20,356.0,2.0,8326
2011-01-23,105,40,133,401,22,14,304.0,1.0,5940
2011-01-24,93,29,157,407,10,10,476.0,0.0,5508
2011-01-25,73,27,370,655,5,39,471.0,1.0,12819
2011-01-26,83,30,142,448,73,4,498.0,1.0,6465
2011-01-27,100,42,142,334,1,6,361.0,1.0,5403
2011-01-28,82,37,357,442,24,38,441.0,0.0,10956
2011-01-29,119,41,147,370,28,12,309.0,2.0,6396
2011-01-30,87,33,103,359,0,4,362.0,1.0,4376
2011-01-31,85,32,162,351,1,10,466.0,1.0,5724
2011-02-01,113,38,213,371,72,15,331.0,2.0,8038
2011-02-02,117,43,144,352,14,4,452.0,1.0,5194
2011-02-03,63,31,196,323,40,30,397.0,1.0,6242
2011-02-04,113,40,170,310,7,15,249.0,2.0,5476
2011-02-05,94,31,153,375,2,4,362.0,0.0,5778
2011-02-06,103,46,98,347,4,5,362.0,1.0,4670
2011-02-07,140,45,248,338,26,12,335.0,1.0,6990
2011-02-08,88,47,262,657,22,26,346.0,1.0,10637
2011-02-09,137,44,266,547,29,30,268.0,2.0,10953
2011-02-10,166,35,388,828,51,37,352.0,0.0,15450
2011-02-11,77,45,212,453,26,22,335.0,2.0,7498
2011-02-12,129,35,147,329,25,13,273.0,2.0,6584
2011-02-13,73,22,143,484,17,2,462.0,0.0,6426
2011-02-14,185,70,257,456,62,50,287.0,1.0,9912
2011-02-15,139,55,176,517,79,14,305.0,2.0,9362
2011-02-16,92,39,147,378,2,21,462.0,1.0,5338
2011-02-17,97,39,130,297,0,9,417.0,1.0,5340
2011-02-18,135,49,379,391,10,19,293.0,1.0,10392
2011-02-19,61,24,59,187,0,2,281.0,2.0,2856
2011-02-20,67,30,229,609,4,34,472.0,1.0,11502
2011-02-21,73,28,125,505,7,14,415.0,1.0,5814
2011-02-22,93,41,251,566,65,15,440.0,1.0,9512
2011-02-23,79,35,177,553,9,3,437.0,1.0,6685
2011-02-24,106,44,129,304,4,16,286.0,2.0,4772
2011-02-25,52,22,160,422,154,0,517.0,1.0,6551
2011-02-26,80,44,241,474,8,24,456.0,1.0,7852
2011-02-27,85,50,98,431,39,13,406.0,0.0,6308
2011-02-28,83,35,156,408,1,9,314.0,1.0,6204
2011-03-01,97,40,276,417,46,15,371.0,0.0,9232
2011-03-02,94,45,255,387,70,14,273.0,1.0,8884
2011-03-03,77,34,144,340,31,13,240.0,1.0,4926
2011-03-04,102,29,213,525,65,11,276.0,1.0,8722
2011-03-05,76,28,125,216,0,23,301.0,2.0,4054
2011-03-06,112,39,188,423,10,2,402.0,1.0,6846
2011-03-07,102,44,197,332,21,9,313.0,2.0,5720
2011-03-08,92,37,210,443,17,11,457.0,0.0,7508
2011-03-09,82,37,137,331,12,11,451.0,0.0,5238
2011-03-10,81,37,277,350,6,10,307.0,2.0,6576
2011-03-11,81,35,184,449,24,8,443.0,0.0,7312
2011-03-12,123,77,333,406,7,57,487.0,1.0,10114
2011-03-13,80,39,91,292,82,9,370.0,0.0,4318
2011-03-14,66,23,161,416,16,19,423.0,0.0,5512
2011-03-15,68,29,363,361,29,25,445.0,1.0,10612
2011-03-16,72,33,168,640,4,31,379.0,2.0,8632
2011-03-17,61,17,123,322,8,12,489.0,1.0,4315
2011-03-18,123,32,138,357,3,10,464.0,1.0,5359
2011-03-19,99,38,234,754,23,44,298.0,1.0,12694
2011-03-20,165,41,111,404,0,8,407.0,3.0,5563
2011-03-21,103,31,159,529,9,17,419.0,1.0,7155
2011-03-22,85,26,159,542,6,29,416.0,1.0,8906
2011-03-23,145,44,123,487,5,13,282.0,4.0,6226
2011-03-24,121,44,132,480,7,13,357.0,1.0,6078
2011-03-25,136,41,158,670,7,17,265.0,2.0,8424
2011-03-26,66,27,260,594,9,31,408.0,0.0,12010
2011-03-27,59,34,208,589,24,18,392.0,1.0,7470
2011-03-28,96,49,164,426,17,12,251.0,2.0,6204
2011-03-29,55,33,134,400,1,17,388.0,1.0,5322
2011-03-30,101,32,126,540,34,7,346.0,3.0,6536
2011-03-31,70,35,106,325,2,10,286.0,2.0,4376
2011-04-01,85,30,194,441,15,10,311.0,2.0,7166
2011-04-02,77,34,173,402,3,34,308.0,1.0,7780
2011-04-03,89,24,111,324,4,6,361.0,2.0,4530
2011-04-04,65,15,134,723,8,10,502.0,1.0,8388
2011-04-05,90,22,108,206,10,12,266.0,1.0,4072
2011-04-06,52,15,150,414,2,6,478.0,1.0,5932
2011-04-07,167,35,295,490,30,20,411.0,1.0,11854
2011-04-08,81,27,191,328,56,21,443.0,0.0,6330
2011-04-09,98,31,193,463,14,5,240.0,1.0,6902
2011-04-10,94,41,210,461,160,35,261.0,1.0,10398
2011-04-11,72,33,160,268,9,22,442.0,1.0,5354
2011-04-12,82,25,302,477,18,26,423.0,0.0,9290
2011-04-13,101,38,193,496,2,25,276.0,2.0,8561
2011-04-14,120,40,206,490,47,10,253.0,3.0,8610
2011-04-15,98,41,385,419,77,29,324.0,3.0,10771
2011-04-16,86,35,153,561,44,18,379.0,0.0,8047
2011-04-17,147,61,229,495,12,48,444.0,1.0,10584
2011-04-18,99,36,232,454,0,6,345.0,2.0,8378
2011-04-19,86,37,339,507,16,39,428.0,1.0,11844
2011-04-20,90,37,139,311,34,7,299.0,2.0,5556
2011-04-21,82,37,131,344,21,9,344.0,2.0,4870
2011-04-22,77,41,122,269,54,13,361.0,0.0,4778
2011-04-23,61,23,138,337,2,3,301.0,2.0,5179
2011-04-24,78,39,91,369,7,6,391.0,0.0,4511
2011-04-25,101,34,194,430,23,5,343.0,2.0,6837
2011-04-26,57,21,127,365,12,13,310.0,2.0,4951
2011-04-27,130,41,210,428,55,24,311.0,2.0,8653
2011-04-28,102,38,142,348,36,11,328.0,1.0,6222
2011-04-29,111,38,166,297,17,19,275.0,5.0,5654
2011-04-30,98,28,132,309,1,17,264.0,3.0,5316
2011-05-01,166,50,237,474,9,21,301.0,2.0,8398
2011-05-02,93,35,275,369,23,17,343.0,1.0,8452
2011-05-03,112,50,342,579,26,49,320.0,2.0,15794
2011-05-04,97,31,200,318,5,25,407.0,0.0,6542
2011-05-05,73,33,133,325,29,9,264.0,2.0,5482
2011-05-06,99,42,178,325,24,18,324.0,1.0,6372
2011-05-07,120,28,186,417,37,10,421.0,1.0,7180
2011-05-08,112,36,203,316,58,9,373.0,1.0,5992
2011-05-09,103,34,178,469,9,13,313.0,1.0,6968
2011-05-10,66,34,171,314,9,25,338.0,2.0,6394
2011-05-11,97,34,135,381,26,6,240.0,2.0,6176
2011-05-12,100,32,104,256,6,8,400.0,1.0,4490
2011-05-13,132,43,282,486,24,41,241.0,1.0,9766
2011-05-14,85,37,167,465,81,29,280.0,2.0,8793
2011-05-15,77,39,140,429,21,22,262.0,1.0,6080
2011-05-16,75,34,127,439,30,12,323.0,1.0,5486
2011-05-17,61,30,153,326,7,21,354.0,1.0,6102
2011-05-18,100,25,172,350,18,17,477.0,1.0,5910
2011-05-19,63,21,171,239,0,13,248.0,1.0,4292
2011-05-20,98,41,133,322,22,9,366.0,0.0,4958
2011-05-21,139,34,219,515,24,14,369.0,0.0,8110
2011-05-22,101,39,401,517,65,65,446.0,1.0,13452
2011-05-23,106,33,173,400,9,26,240.0,2.0,12516
2011-05-24,66,27,100,342,15,23,338.0,1.0,4580
2011-05-25,88,32,158,357,6,18,309.0,3.0,5954
2011-05-26,91,41,120,252,2,14,323.0,1.0,4068
2011-05-27,92,35,139,330,0,18,281.0,2.0,5508
2011-05-28,94,33,184,374,46,17,275.0,1.0,6940
2011-05-29,145,55,319,553,131,91,405.0,1.0,13412
2011-05-30,151,39,257,609,5,61,367.0,1.0,11172
2011-05-31,102,35,269,485,26,38,242.0,3.0,9360
2011-06-01,96,34,184,357,16,15,340.0,2.0,6376
2011-06-02,112,41,149,433,6,12,354.0,1.0,5898
2011-06-03,85,33,258,260,33,9,301.0,3.0,5720
2011-06-04,88,22,219,344,36,27,319.0,2.0,7184
2011-06-05,111,39,161,415,19,9,347.0,2.0,6068
2011-06-06,155,52,253,527,37,30,335.0,2.0,9246
2011-06-07,78,35,216,377,0,21,329.0,2.0,6780
2011-06-08,109,46,260,459,17,17,307.0,3.0,7638
2011-06-09,86,47,142,309,1,16,309.0,3.0,5094
2011-06-10,99,33,216,338,34,33,324.0,1.0,7520
