day,severity,combined,peak_z,driver,moderate_count
2011-01-06,Normal,1.84,1.12,motion_events,0
2011-01-07,Normal,1.06,0.98,first_exit_minutes,0
2011-01-08,Normal,0.62,0.44,minutes_kitchen,0
2011-01-09,Normal,0.39,0.29,minutes_living_room,0
2011-01-10,Normal,2.54,1.97,minutes_living_room,0
2011-01-11,Normal,0.11,0.09,minutes_living_room,0
2011-01-12,Normal,2.27,1.46,minutes_living_room,0
2011-01-13,Normal,1.16,0.73,first_exit_minutes,0
2011-01-14,Normal,0.76,0.63,motion_events,0
2011-01-15,Normal,0.67,0.67,night_bathroom_visits,0
2011-01-16,Normal,0.99,0.72,minutes_bedroom,0
2011-01-17,Normal,0.54,0.54,minutes_bedroom,0
2011-01-18,Normal,2.37,2.23,minutes_bedroom,0
2011-01-19,Normal,1.92,1.44,minutes_living_room,0
2011-01-20,Normal,1.79,0.98,first_exit_minutes,0
2011-01-21,Normal,1.2,0.75,first_exit_minutes,0
2011-01-22,Normal,2.14,2.01,minutes_bedroom,0
2011-01-23,Normal,0.94,0.65,minutes_kitchen,0
2011-01-24,Normal,1.62,1.46,first_exit_minutes,0
2011-01-25,Normal,1.4,1.4,first_exit_minutes,0
2011-01-26,Normal,1.81,1.7,first_exit_minutes,0
2011-01-27,Normal,1.52,0.97,minutes_bathroom,0
2011-01-28,Normal,1.01,0.98,first_exit_minutes,0
2011-01-29,Normal,1.57,0.99,minutes_bedroom,0
2011-01-30,Normal,1.81,1.3,minutes_kitchen,0
2011-01-31,Normal,1.39,1.28,first_exit_minutes,0
2011-02-01,Normal,1.16,0.78,minutes_bedroom,0
2011-02-02,Normal,1.95,1.13,first_exit_minutes,0
2011-02-03,Normal,0.94,0.84,minutes_living_room,0
2011-02-04,Normal,1.64,1.03,minutes_living_room,0
2011-02-05,Normal,0.35,0.28,minutes_kitchen,0
2011-02-06,Normal,2.32,1.5,minutes_bathroom,0
2011-02-07,Normal,2.22,1.81,minutes_bedroom,0
2011-02-08,Normal,1.42,1.42,minutes_bathroom,0
2011-02-09,Normal,2.08,1.78,minutes_bedroom,0
2011-02-10,Normal,2.98,2.98,minutes_bedroom,0
2011-02-11,Normal,1.19,0.98,minutes_bathroom,0
2011-02-12,Normal,1.62,1.16,minutes_bedroom,0
2011-02-13,Normal,1.39,1.33,first_exit_minutes,0
2011-02-14,High,5.07,3.99,minutes_bathroom,2
2011-02-15,Normal,2.38,1.85,minutes_bathroom,0
2011-02-16,Normal,1.43,1.25,first_exit_minutes,0
2011-02-17,Normal,1.68,1.15,minutes_living_room,0
2011-02-18,Normal,1.81,1.33,minutes_bedroom,0
2011-02-19,Medium,3.99,2.51,minutes_living_room,0
2011-02-20,Normal,1.26,1.26,first_exit_minutes,0
2011-02-21,Normal,0.92,0.67,minutes_kitchen,0
2011-02-22,Normal,0.89,0.85,first_exit_minutes,0
2011-02-23,Normal,0.81,0.81,first_exit_minutes,0
2011-02-24,Normal,1.69,0.94,motion_events,0
2011-02-25,Normal,1.62,1.61,first_exit_minutes,0
2011-02-26,Normal,1.14,1.0,first_exit_minutes,0
2011-02-27,Normal,1.75,1.24,minutes_bathroom,0
2011-02-28,Normal,0.33,0.26,minutes_kitchen,0
2011-03-01,Normal,0.19,0.14,first_exit_minutes,0
2011-03-02,Normal,0.72,0.67,minutes_bathroom,0
2011-03-03,Normal,1.18,0.89,motion_events,0
2011-03-04,Normal,0.35,0.35,minutes_bedroom,0
2011-03-05,Normal,2.19,1.71,minutes_living_room,0
2011-03-06,Normal,1.06,0.85,minutes_bedroom,0
2011-03-07,Normal,1.28,0.73,minutes_living_room,0
2011-03-08,Normal,1.21,1.21,first_exit_minutes,0
2011-03-09,Normal,1.58,1.05,first_exit_minutes,0
2011-03-10,Normal,0.9,0.67,night_bathroom_visits,0
2011-03-11,Normal,0.87,0.87,first_exit_minutes,0
2011-03-12,Medium,4.41,3.85,minutes_bathroom,1
2011-03-13,Normal,2.12,1.28,minutes_living_room,0
2011-03-14,Normal,0.64,0.49,motion_events,0
2011-03-15,Normal,0.68,0.51,minutes_living_room,0
2011-03-16,Normal,0.69,0.67,night_bathroom_visits,0
2011-03-17,Normal,1.9,1.09,first_exit_minutes,0
2011-03-18,Normal,2.53,2.27,minutes_bedroom,0
2011-03-19,Normal,1.03,0.97,minutes_bedroom,0
2011-03-20,High,5.03,4.69,minutes_bedroom,1
2011-03-21,Normal,1.28,1.26,minutes_bedroom,0
2011-03-22,Normal,0.26,0.22,minutes_kitchen,0
2011-03-23,Medium,4.09,3.29,minutes_bedroom,1
2011-03-24,Normal,2.02,1.8,minutes_bedroom,0
2011-03-25,Normal,2.67,2.55,minutes_bedroom,0
2011-03-26,Normal,0.18,0.18,first_exit_minutes,0
2011-03-27,Normal,0.02,0.02,first_exit_minutes,0
2011-03-28,Normal,1.94,1.75,minutes_bathroom,0
2011-03-29,Normal,0.88,0.69,motion_events,0
2011-03-30,Normal,1.61,1.35,night_bathroom_visits,0
2011-03-31,Normal,1.9,1.21,motion_events,0
2011-04-01,Normal,0.67,0.67,night_bathroom_visits,0
2011-04-02,Normal,0.18,0.18,minutes_living_room,0
2011-04-03,Normal,2.02,1.25,motion_events,0
2011-04-04,Normal,1.33,1.24,first_exit_minutes,0
2011-04-05,Normal,2.36,1.71,minutes_living_room,0
2011-04-06,Normal,1.06,0.99,first_exit_minutes,0
2011-04-07,Normal,3.35,3.33,minutes_bedroom,1
2011-04-08,Normal,1.08,0.83,minutes_living_room,0
2011-04-09,Normal,0.47,0.47,minutes_bedroom,0
2011-04-10,Normal,1.16,1.1,minutes_bathroom,0
2011-04-11,Normal,1.65,1.38,minutes_living_room,0
2011-04-12,Normal,0.4,0.4,first_exit_minutes,0
2011-04-13,Normal,1.13,0.67,minutes_bathroom,0
2011-04-14,Normal,2.1,1.35,night_bathroom_visits,0
2011-04-15,Normal,1.71,1.35,night_bathroom_visits,0
2011-04-16,Normal,0.37,0.28,first_exit_minutes,0
2011-04-17,Medium,4.23,2.98,minutes_bedroom,0
2011-04-18,Normal,0.91,0.67,night_bathroom_visits,0
2011-04-19,Normal,0.82,0.76,first_exit_minutes,0
2011-04-20,Normal,2.41,2.0,minutes_living_room,0
2011-04-21,Normal,2.16,1.47,minutes_living_room,0
2011-04-22,Normal,2.9,2.25,minutes_living_room,0
2011-04-23,Normal,1.83,1.38,minutes_living_room,0
2011-04-24,Normal,2.06,1.39,minutes_kitchen,0
2011-04-25,Normal,1.14,0.92,minutes_bedroom,0
2011-04-26,Normal,1.37,0.77,motion_events,0
2011-04-27,Normal,2.74,2.47,minutes_bedroom,0
2011-04-28,Normal,1.4,0.9,minutes_bedroom,0
2011-04-29,Normal,3.41,2.7,night_bathroom_visits,0
2011-04-30,Normal,1.97,1.35,night_bathroom_visits,0
2011-05-01,High,5.1,4.66,minutes_bedroom,1
2011-05-02,Normal,0.52,0.51,minutes_living_room,0
2011-05-03,Normal,2.61,2.28,minutes_bathroom,0
2011-05-04,Normal,1.46,1.03,minutes_living_room,0
2011-05-05,Normal,1.49,0.92,minutes_living_room,0
2011-05-06,Normal,1.11,0.84,minutes_bathroom,0
2011-05-07,Normal,1.96,1.54,first_exit_minutes,0
2011-05-08,Normal,1.32,0.75,first_exit_minutes,0
2011-05-09,Normal,0.29,0.24,minutes_bedroom,0
2011-05-10,Normal,0.83,0.71,minutes_living_room,0
2011-05-11,Normal,0.76,0.73,minutes_kitchen,0
2011-05-12,Normal,2.8,1.92,first_exit_minutes,0
2011-05-13,Normal,2.42,1.83,minutes_bedroom,0
2011-05-14,Normal,0.42,0.34,night_bathroom_visits,0
2011-05-15,Normal,0.82,0.57,minutes_kitchen,0
2011-05-16,Normal,0.96,0.81,minutes_kitchen,0
2011-05-17,Normal,0.9,0.71,first_exit_minutes,0
2011-05-18,Medium,3.82,3.81,first_exit_minutes,1
2011-05-19,Normal,2.3,1.74,minutes_living_room,0
2011-05-20,Normal,1.83,1.05,minutes_bathroom,0
2011-05-21,Normal,2.11,1.98,minutes_bedroom,0
2011-05-22,Normal,2.04,1.86,first_exit_minutes,0
2011-05-23,Normal,0.76,0.67,night_bathroom_visits,0
2011-05-24,Normal,1.92,1.42,minutes_kitchen,0
2011-05-25,Normal,1.4,1.35,night_bathroom_visits,0
2011-05-26,Normal,2.81,1.74,motion_events,0
2011-05-27,Normal,1.09,0.67,night_bathroom_visits,0
2011-05-28,Normal,0.0,0.0,night_bathroom_visits,0
2011-05-29,High,5.77,4.72,minutes_bathroom,2
2011-05-30,Normal,3.7,3.47,minutes_bedroom,1
2011-05-31,Normal,1.38,1.35,night_bathroom_visits,0
2011-06-01,Normal,0.72,0.67,night_bathroom_visits,0
2011-06-02,Normal,2.21,1.89,minutes_bathroom,0
2011-06-03,Normal,1.96,1.35,minutes_living_room,0
2011-06-04,Normal,0.77,0.67,night_bathroom_visits,0
2011-06-05,Normal,1.82,1.35,minutes_bathroom,0
2011-06-06,High,5.16,3.76,minutes_bedroom,2
2011-06-07,Normal,0.69,0.67,night_bathroom_visits,0
2011-06-08,Normal,2.31,1.72,minutes_bathroom,0
2011-06-09,Normal,2.67,2.02,minutes_bathroom,0
2011-06-10,Normal,0.57,0.53,minutes_living_room,0
